ORPHA:58	Alexander disease
ORPHA:636	Neurofibromatosis type 1
ORPHA:631	Non-acquired isolated growth hormone deficiency
ORPHA:379	Chronic granulomatous disease
ORPHA:394	Classic homocystinuria
ORPHA:510	Lesch-Nyhan syndrome
ORPHA:214	Cystinuria
ORPHA:281	Monosomy 5p
ORPHA:640	Hereditary neuropathy with liability to pressure palsies
ORPHA:649	Norrie disease
ORPHA:60	Alpha-1-antitrypsin deficiency
ORPHA:682	Hyperkalemic periodic paralysis
ORPHA:800	Schwartz-Jampel syndrome
ORPHA:628	Diastrophic dysplasia
ORPHA:648	Noonan syndrome
ORPHA:377	Gorlin syndrome
ORPHA:752	46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency
ORPHA:337	Fibrodysplasia ossificans progressiva
ORPHA:2869	Peutz-Jeghers syndrome
ORPHA:710	Pfeiffer syndrome
ORPHA:912	Zellweger syndrome
ORPHA:893	WAGR syndrome
ORPHA:895	Waardenburg syndrome type 2
ORPHA:896	Waardenburg syndrome type 3
ORPHA:857	Townes-Brocks syndrome
ORPHA:894	Waardenburg syndrome type 1
ORPHA:207	Crouzon syndrome
ORPHA:201	Cowden syndrome
ORPHA:205	Crigler-Najjar syndrome
ORPHA:192	Coffin-Lowry syndrome
ORPHA:126	Blepharophimosis-ptosis-epicanthus inversus syndrome
ORPHA:107	BOR syndrome
ORPHA:774	Hereditary hemorrhagic telangiectasia
ORPHA:794	Saethre-Chotzen syndrome
ORPHA:116	Beckwith-Wiedemann syndrome
ORPHA:112	Bartter syndrome
ORPHA:53	Albers-Schönberg osteopetrosis
ORPHA:50	Aicardi syndrome
ORPHA:52	Alagille syndrome
ORPHA:14	Abetalipoproteinemia
ORPHA:195	Cat-eye syndrome
ORPHA:289	Ellis Van Creveld syndrome
ORPHA:474	Jeune syndrome
ORPHA:861	Treacher-Collins syndrome
ORPHA:199	Cornelia de Lange syndrome
ORPHA:2162	Holoprosencephaly
ORPHA:87	Apert syndrome
ORPHA:313	Lamellar ichthyosis
ORPHA:565	Menkes disease
ORPHA:568	Microphthalmia, Lenz type
ORPHA:564	Meckel syndrome
ORPHA:868	Triose phosphate-isomerase deficiency
ORPHA:1598	Monosomy 18p
ORPHA:1636	Distal monosomy 7q36
ORPHA:1642	Distal deletion 9p
ORPHA:3378	Trisomy 13
ORPHA:1707	Distal duplication 15q
ORPHA:3380	Trisomy 18
ORPHA:1716	Distal duplication 18q
ORPHA:998	Albinism-deafness syndrome
ORPHA:999	Ermine phenotype
ORPHA:1000	Ocular albinism with late-onset sensorineural deafness
ORPHA:2771	Bruck syndrome
ORPHA:218	Darier disease
ORPHA:753	46,XY difference of sex development due to 5-alpha-reductase 2 deficiency
ORPHA:2609	Isolated complex I deficiency
ORPHA:610	Bethlem myopathy
ORPHA:11	Pentasomy X
ORPHA:2773	Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome
ORPHA:2772	Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome
ORPHA:626	Large congenital melanocytic nevus
ORPHA:236	Trisomy 9p
ORPHA:1727	22q11.2 duplication syndrome
ORPHA:3307	Tetrasomy 18p
ORPHA:464	Incontinentia pigmenti
ORPHA:30	Hereditary orotic aciduria
ORPHA:36	Acrocallosal syndrome
ORPHA:22	Succinic semialdehyde dehydrogenase deficiency
ORPHA:29	Mevalonic aciduria
ORPHA:44	Neonatal adrenoleukodystrophy
ORPHA:56	Alkaptonuria
ORPHA:245	Nager syndrome
ORPHA:963	Acromegaly
ORPHA:819	Smith-Magenis syndrome
ORPHA:9	Tetrasomy X
ORPHA:773	Refsum disease
ORPHA:3085	Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome
ORPHA:33	Isovaleric acidemia
ORPHA:915	Aarskog-Scott syndrome
ORPHA:1334	Chronic mucocutaneous candidiasis
ORPHA:1310	Caffey disease
ORPHA:1154	Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome
ORPHA:1147	Sheldon-Hall syndrome
ORPHA:1135	Arrhinia-choanal atresia-microphthalmia syndrome
ORPHA:90	Argininemia
ORPHA:1146	Distal arthrogryposis type 1
ORPHA:1046	Lethal hemolytic anemia-genital anomalies syndrome
ORPHA:1006	Alopecia antibody deficiency
ORPHA:1065	Aniridia-cerebellar ataxia-intellectual disability syndrome
ORPHA:1059	Blue rubber bleb nevus
ORPHA:217	Isolated Dandy-Walker malformation
ORPHA:226	Dihydropteridine reductase deficiency
ORPHA:23	Argininosuccinic aciduria
ORPHA:147	Carbamoyl-phosphate synthetase 1 deficiency
ORPHA:1496	Corpus callosum agenesis-neuronopathy syndrome
ORPHA:1538	Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome
ORPHA:1556	Cutis marmorata telangiectatica congenita
ORPHA:1455	Autosomal dominant coarctation of aorta
ORPHA:193	Cohen syndrome
ORPHA:1488	Cooper-Jabs syndrome
ORPHA:1369	Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome
ORPHA:1406	Charlie M syndrome
ORPHA:1414	Cholestasis-lymphedema syndrome
ORPHA:1452	Cleidocranial dysplasia
ORPHA:1915	Fetal alcohol syndrome
ORPHA:1885	Isolated ectopia lentis
ORPHA:1880	Ebstein malformation of the tricuspid valve
ORPHA:246	Postaxial acrofacial dysostosis
ORPHA:1775	Dyskeratosis congenita
ORPHA:1770	XY type gonadal dysgenesis-associated anomalies syndrome
ORPHA:1764	Familial dysautonomia
ORPHA:235	Dubowitz syndrome
ORPHA:1672	Diencephalic syndrome
ORPHA:833	Encephalopathy due to sulfite oxidase deficiency
ORPHA:765	Pyruvate dehydrogenase deficiency
ORPHA:408	Isolated glycerol kinase deficiency
ORPHA:417	Neonatal severe primary hyperparathyroidism
ORPHA:2233	Hypogonadism-mitral valve prolapse-intellectual disability syndrome
ORPHA:2140	Congenital diaphragmatic hernia
ORPHA:2185	Congenital hydrocephalus
ORPHA:446	Neonatal hemochromatosis
ORPHA:2135	Hennekam-Beemer syndrome
ORPHA:2116	Hartnup disease
ORPHA:2118	Hawkinsinuria
ORPHA:351	Galactosialidosis
ORPHA:2020	Congenital fiber-type disproportion myopathy
ORPHA:2053	Freeman-Sheldon syndrome
ORPHA:1933	Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria
ORPHA:295	Fetal parvovirus syndrome
ORPHA:1931	Frontal encephalocele
ORPHA:2444	Congenital pulmonary airway malformation
ORPHA:2430	Congenital macroglossia
ORPHA:587	Muir-Torre syndrome
ORPHA:570	Moebius syndrome
ORPHA:2466	MASA syndrome
ORPHA:560	Marshall syndrome
ORPHA:635	Neuroblastoma
ORPHA:2655	Thanatophoric dysplasia
ORPHA:2635	Metatropic dysplasia
ORPHA:606	Proximal myotonic myopathy
ORPHA:2746	Opsismodysplasia
ORPHA:2744	Horizontal gaze palsy with progressive scoliosis
ORPHA:660	Omphalocele
ORPHA:2612	Linear nevus sebaceus syndrome
ORPHA:2300	Multiple intestinal atresia
ORPHA:2301	Congenital short bowel syndrome
ORPHA:2248	Hypoplastic left heart syndrome
ORPHA:2253	Foveal hypoplasia-presenile cataract syndrome
ORPHA:2308	Jacobsen syndrome
ORPHA:2318	Joubert syndrome with oculorenal defect
ORPHA:2370	Larsen-like osseous dysplasia-short stature syndrome
ORPHA:2373	Congenital laryngomalacia
ORPHA:502	Trichorhinophalangeal syndrome type 2
ORPHA:2414	Congenital pulmonary lymphangiectasia
ORPHA:2374	Congenital laryngeal web
ORPHA:2377	Laurence-Moon syndrome
ORPHA:799	Schizencephaly
ORPHA:813	Silver-Russell syndrome
ORPHA:3151	Multiple sclerosis-ichthyosis-factor VIII deficiency syndrome
ORPHA:816	Sjögren-Larsson syndrome
ORPHA:3169	Sirenomelia
ORPHA:3173	Infantile spasms-broad thumbs syndrome
ORPHA:3205	Sturge-Weber syndrome
ORPHA:3204	Stormorken-Sjaastad-Langslet syndrome
ORPHA:858	Congenital toxoplasmosis
ORPHA:3320	Thrombocytopenia-absent radius syndrome
ORPHA:3346	Tracheal agenesis
ORPHA:887	VACTERL/VATER association
ORPHA:291	Congenital varicella syndrome
ORPHA:2801	Juvenile Paget disease
ORPHA:884	Tetrasomy 12p
ORPHA:705	Pendred syndrome
ORPHA:718	Isolated Pierre Robin syndrome
ORPHA:2901	Neuralgic amyotrophy
ORPHA:2903	Familial spontaneous pneumothorax
ORPHA:744	Proteus syndrome
ORPHA:2970	Prune belly syndrome
ORPHA:2971	Peroxisomal acyl-CoA oxidase deficiency
ORPHA:2983	Difference of sex development-intellectual disability syndrome
ORPHA:3071	Costello syndrome
ORPHA:290	Congenital rubella syndrome
ORPHA:834	Free sialic acid storage disease
ORPHA:666	Osteogenesis imperfecta
ORPHA:581	Mucopolysaccharidosis type 3
ORPHA:388	Hirschsprung disease
ORPHA:364	Glycogen storage disease due to glucose-6-phosphatase deficiency
ORPHA:355	Gaucher disease
ORPHA:354	GM1 gangliosidosis
ORPHA:3440	Waardenburg syndrome
ORPHA:886	Usher syndrome
ORPHA:791	Retinitis pigmentosa
ORPHA:702	Pelizaeus-Merzbacher disease
ORPHA:54	X-linked recessive ocular albinism
ORPHA:716	Phenylketonuria
ORPHA:1422	Chondrodysplasia-difference of sex development syndrome
ORPHA:3447	Weaver syndrome
ORPHA:84	Fanconi anemia
ORPHA:154	Familial isolated dilated cardiomyopathy
ORPHA:3165	Eosinophilic fasciitis
ORPHA:900	Granulomatosis with polyangiitis
ORPHA:761	Immunoglobulin A vasculitis
ORPHA:375	Anti-glomerular basement membrane disease
ORPHA:727	Microscopic polyangiitis
ORPHA:2406	Locked-in syndrome
ORPHA:293	Congenital herpes simplex virus infection
ORPHA:1928	Congenital lobar emphysema
ORPHA:3287	Takayasu arteritis
ORPHA:234	Dubin-Johnson syndrome
ORPHA:3452	Whipple disease
ORPHA:2331	Kawasaki disease
ORPHA:2040	Congenital respiratory-biliary fistula
ORPHA:1195	Congenital atransferrinemia
ORPHA:598	Multiminicore myopathy
ORPHA:732	Polymyositis
ORPHA:221	Dermatomyositis
ORPHA:117	Behçet disease
ORPHA:270	Oculopharyngeal muscular dystrophy
ORPHA:3137	Alpha-N-acetylgalactosaminidase deficiency
ORPHA:611	Inclusion body myositis
ORPHA:1202	Larynx atresia
ORPHA:2368	Gastroschisis
ORPHA:1164	Allergic bronchopulmonary aspergillosis
ORPHA:183	Eosinophilic granulomatosis with polyangiitis
ORPHA:511	Maple syrup urine disease
ORPHA:26	Methylmalonic acidemia with homocystinuria
ORPHA:32	Glutathione synthetase deficiency
ORPHA:847	Alpha-thalassemia-X-linked intellectual disability syndrome
ORPHA:342	Familial Mediterranean fever
ORPHA:373	Simpson-Golabi-Behmel syndrome
ORPHA:2398	Multiple symmetric lipomatosis
ORPHA:1656	Dermatitis herpetiformis
ORPHA:582	Mucopolysaccharidosis type 4
ORPHA:397	Giant cell arteritis
ORPHA:131	Budd-Chiari syndrome
ORPHA:646	Niemann-Pick disease type C
ORPHA:654	Nephroblastoma
ORPHA:2380	Legg-Calvé-Perthes disease
ORPHA:770	Rabies
ORPHA:1267	Botulism
ORPHA:2897	Pityriasis rubra pilaris
ORPHA:549	Legionnaires disease
ORPHA:3463	Wolfram syndrome
ORPHA:704	Pemphigus vulgaris
ORPHA:2314	Autosomal dominant hyper-IgE syndrome
ORPHA:828	Stickler syndrome
ORPHA:3303	Tetralogy of Fallot
ORPHA:113	Bazex-Dupré-Christol syndrome
ORPHA:243	46,XX gonadal dysgenesis
ORPHA:2268	ICF syndrome
ORPHA:475	Joubert syndrome
ORPHA:392	Holt-Oram syndrome
ORPHA:3103	Roberts syndrome
ORPHA:776	Lujan-Fryns syndrome
ORPHA:1473	Uveal coloboma-cleft lip and palate-intellectual disability
ORPHA:184	Cherubism
ORPHA:808	Seckel syndrome
ORPHA:3027	Caudal regression syndrome
ORPHA:902	Werner syndrome
ORPHA:897	Waardenburg-Shah syndrome
ORPHA:871	Familial progressive cardiac conduction defect
ORPHA:709	Peters plus syndrome
ORPHA:888	Van der Woude syndrome
ORPHA:650	LCAT deficiency
ORPHA:180	Choroideremia
ORPHA:638	Neurofibromatosis-Noonan syndrome
ORPHA:526	Liddle syndrome
ORPHA:140	Campomelic dysplasia
ORPHA:627	Nance-Horan syndrome
ORPHA:634	Netherton syndrome
ORPHA:642	Hereditary sensory and autonomic neuropathy type 4
ORPHA:1695	Non-distal duplication 10q
ORPHA:1699	Trisomy 12p
ORPHA:1621	3q13 microdeletion syndrome
ORPHA:1643	Xp22.3 microdeletion syndrome
ORPHA:1597	Distal deletion 17q
ORPHA:1620	Distal deletion 3p
ORPHA:1587	Monosomy 13q14
ORPHA:1590	Distal deletion 13q
ORPHA:1580	Distal deletion 10p
ORPHA:1581	Non-distal deletion 10q
ORPHA:1450	Ring chromosome 8 syndrome
ORPHA:1552	Currarino syndrome
ORPHA:1447	Ring chromosome 4 syndrome
ORPHA:1448	Ring chromosome 6 syndrome
ORPHA:1437	Ring chromosome 1 syndrome
ORPHA:1438	Ring chromosome 10 syndrome
ORPHA:172	Progressive familial intrahepatic cholestasis
ORPHA:1358	Carey-Fineman-Ziter syndrome
ORPHA:1354	Heart defects-limb shortening syndrome
ORPHA:1308	C syndrome
ORPHA:111	Barth syndrome
ORPHA:10	48,XXYY syndrome
ORPHA:2052	Fraser syndrome
ORPHA:242	46,XY complete gonadal dysgenesis
ORPHA:240	Léri-Weill dyschondrosteosis
ORPHA:2311	Autosomal recessive spondylocostal dysostosis
ORPHA:233	Duane retraction syndrome
ORPHA:500	Noonan syndrome with multiple lentigines
ORPHA:1706	Mosaic trisomy 15
ORPHA:7	3C syndrome
ORPHA:916	Aase-Smith syndrome
ORPHA:920	Ablepharon macrostomia syndrome
ORPHA:3176	Spina bifida-hypospadias syndrome
ORPHA:3305	Tetraploidy
ORPHA:3375	Trisomy X
ORPHA:3376	Triploidy
ORPHA:624	Familial multiple nevi flammei
ORPHA:3000	Familial peripheral male-limited precocious puberty
ORPHA:2604	Familial visceral myopathy
ORPHA:2597	Mitochondrial myopathy-lactic acidosis-deafness syndrome
ORPHA:2598	Mitochondrial myopathy and sideroblastic anemia
ORPHA:156	Carnitine palmitoyl transferase 1A deficiency
ORPHA:1948	Epilepsy-microcephaly-skeletal dysplasia syndrome
ORPHA:1946	Amelocerebrohypohidrotic syndrome
ORPHA:381	Griscelli syndrome
ORPHA:1951	Epilepsy-telangiectasia syndrome
ORPHA:1876	Oculogastrointestinal muscular dystrophy
ORPHA:1762	Proximal Xq28 duplication syndrome
ORPHA:1878	TRIM32-related limb-girdle muscular dystrophy R8
ORPHA:1742	Trisomy 5p
ORPHA:1738	Trisomy 4p
ORPHA:1752	Trisomy 8q
ORPHA:1745	Distal duplication 6p
ORPHA:1703	Mosaic trisomy 14
ORPHA:1702	Non-distal duplication 13q
ORPHA:1713	17p11.2 microduplication syndrome
ORPHA:1705	Distal duplication 14q
ORPHA:991	PAGOD syndrome
ORPHA:51	Aicardi-Goutières syndrome
ORPHA:989	Hypoglossia-hypodactyly syndrome
ORPHA:990	Agnathia-holoprosencephaly-situs inversus syndrome
ORPHA:983	Testicular regression syndrome
ORPHA:988	Tibial hemimelia-polysyndactyly-triphalangeal thumb syndrome
ORPHA:977	Adrenomyodystrophy
ORPHA:978	ADULT syndrome
ORPHA:1008	Alopecia-epilepsy-pyorrhea-intellectual disability syndrome
ORPHA:701	Alopecia universalis
ORPHA:1003	Scalp defects-postaxial polydactyly syndrome
ORPHA:1005	Alopecia-contractures-dwarfism-intellectual disability syndrome
ORPHA:994	Fetal akinesia deformation sequence
ORPHA:1001	2q37 microdeletion syndrome
ORPHA:1031	Enamel-renal syndrome
ORPHA:1028	Amelo-onycho-hypohidrotic syndrome
ORPHA:1027	Autosomal recessive amelia
ORPHA:1021	Amaurosis-hypertrichosis syndrome
ORPHA:1014	Alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome
ORPHA:1062	Hereditary neurocutaneous malformation
ORPHA:1055	Congenital left ventricular aneurysm
ORPHA:1053	Vein of Galen aneurysmal malformation
ORPHA:1052	Mosaic variegated aneuploidy syndrome
ORPHA:1040	Metaphyseal anadysplasia
ORPHA:1035	Beta-mercaptolactate cysteine disulfiduria
ORPHA:931	Acheiropodia
ORPHA:932	Achondrogenesis
ORPHA:935	Short-limb skeletal dysplasia with severe combined immunodeficiency
ORPHA:31	Oxoglutaric aciduria
ORPHA:921	Abruzzo-Erickson syndrome
ORPHA:2297	Insulin-resistance syndrome type A
ORPHA:869	Triple A syndrome
ORPHA:929	Achalasia-microcephaly syndrome
ORPHA:949	Acrocraniofacial dysostosis
ORPHA:37	Acrodermatitis enteropathica
ORPHA:950	Acrodysostosis
ORPHA:1795	Peripheral dysostosis
ORPHA:939	3-hydroxyisobutyric aciduria
ORPHA:27	Vitamin B12-unresponsive methylmalonic acidemia
ORPHA:945	Acalvaria
ORPHA:959	Acro-renal-ocular syndrome
ORPHA:958	Acro-renal-mandibular syndrome
ORPHA:955	Hajdu-Cheney syndrome
ORPHA:952	Acrofacial dysostosis, Weyers type
ORPHA:957	Acropectorovertebral dysplasia
ORPHA:972	Hereditary continuous muscle fiber activity
ORPHA:971	Acrorenal syndrome
ORPHA:974	Adams-Oliver syndrome
ORPHA:973	Congenital absence/hypoplasia of fingers excluding thumb, unilateral
ORPHA:40	Acromesomelic dysplasia, Maroteaux type
ORPHA:968	Acromesomelic dysplasia, Hunter-Thompson type
ORPHA:970	Hereditary sensory and autonomic neuropathy type 2
ORPHA:969	Acromicric dysplasia
ORPHA:1174	Cerebellar ataxia-ectodermal dysplasia syndrome
ORPHA:1166	Congenital unilateral hypoplasia of depressor anguli oris
ORPHA:1168	Ataxia-oculomotor apraxia type 1
ORPHA:1173	Cerebellar ataxia-hypogonadism syndrome
ORPHA:1180	Ataxia-hypogonadism-choroidal dystrophy syndrome
ORPHA:1178	Ataxia-tapetoretinal degeneration syndrome
ORPHA:1179	Benign paroxysmal tonic upgaze of childhood with ataxia
ORPHA:1185	Spinocerebellar ataxia-dysmorphism syndrome
ORPHA:1186	Infantile-onset spinocerebellar ataxia
ORPHA:1182	Spastic ataxia with congenital miosis
ORPHA:1184	Ataxia-photosensitivity-short stature syndrome
ORPHA:1193	Atkin-Flaitz syndrome
ORPHA:1198	Colonic atresia
ORPHA:1188	Ataxia-deafness-intellectual disability syndrome
ORPHA:1214	Progressive hemifacial atrophy
ORPHA:1208	Pulmonary atresia-intact ventricular septum syndrome
ORPHA:1203	Duodenal atresia
ORPHA:1200	Burn-McKeown syndrome
ORPHA:1225	Baller-Gerold syndrome
ORPHA:1221	Cheilitis glandularis
ORPHA:1216	Autosomal dominant congenital benign spinal muscular atrophy
ORPHA:109	Bannayan-Riley-Ruvalcaba syndrome
ORPHA:1228	Banki syndrome
ORPHA:1227	Bangstad syndrome
ORPHA:1226	Bamforth-Lazarus syndrome
ORPHA:1236	Severe microbrachycephaly-intellectual disability-athetoid cerebral palsy syndrome
ORPHA:1234	Bartsocas-Papas syndrome
ORPHA:1231	Barber-Say syndrome
ORPHA:1229	Congenital intrauterine infection-like syndrome
ORPHA:1064	Aniridia-renal agenesis-psychomotor retardation syndrome
ORPHA:1067	Aniridia-ptosis-intellectual disability-familial obesity syndrome
ORPHA:1068	Aniridia-intellectual disability syndrome
ORPHA:1069	Aniridia-absent patella syndrome
ORPHA:1071	Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome
ORPHA:1072	Ankyloblepharon filiforme adnatum-cleft palate syndrome
ORPHA:1074	Ankyloblepharon filiforme adnatum-imperforate anus syndrome
ORPHA:1077	Dental ankylosis
ORPHA:1078	Thumb stiffness-brachydactyly-intellectual disability syndrome
ORPHA:1094	Anonychia-microcephaly syndrome
ORPHA:1104	Anophthalmia plus syndrome
ORPHA:1106	Microphthalmia with limb anomalies
ORPHA:83	Antley-Bixler syndrome
ORPHA:1110	Aortic arch anomaly-facial dysmorphism-intellectual disability syndrome
ORPHA:1113	Aphalangy-syndactyly-microcephaly syndrome
ORPHA:1112	Aphalangy-hemivertebrae-urogenital-intestinal dysgenesis syndrome
ORPHA:1116	Aplasia cutis congenita-intestinal lymphangiectasia syndrome
ORPHA:1118	Fibular aplasia-ectrodactyly syndrome
ORPHA:1117	Aplasia cutis-myopia syndrome
ORPHA:1122	Ulnar hypoplasia-split foot syndrome
ORPHA:1120	Lung agenesis-heart defect-thumb anomalies syndrome
ORPHA:1133	AREDYLD syndrome
ORPHA:1131	X-linked mandibulofacial dysostosis
ORPHA:1144	Arthrogryposis-like hand anomaly-sensorineural deafness syndrome
ORPHA:1150	Arthrogryposis multiplex congenita-whistling face syndrome
ORPHA:1149	Kuskokwim syndrome
ORPHA:1160	Chylous ascites
ORPHA:1352	Atrioventricular defect-blepharophimosis-radial and anal defect syndrome
ORPHA:1350	Heart-hand syndrome type 2
ORPHA:1345	Cardiomyopathy-cataract-hip spine disease syndrome
ORPHA:1340	Cardiofaciocutaneous syndrome
ORPHA:1338	Heart defect-tongue hamartoma-polysyndactyly syndrome
ORPHA:1336	Hyperkeratosis-hyperpigmentation syndrome
ORPHA:1335	Pentalogy of Cantrell
ORPHA:2856	Persistent Müllerian duct syndrome
ORPHA:1328	Camurati-Engelmann disease
ORPHA:1327	Camptodactyly syndrome, Guadalajara type 1
ORPHA:1326	Camptodactyly syndrome, Guadalajara type 2
ORPHA:1325	Camptodactyly-taurinuria syndrome
ORPHA:1323	Camptodactyly-joint contractures-facial skeletal defects syndrome
ORPHA:1319	Camptobrachydactyly
ORPHA:1390	Night blindness-skeletal anomalies-dysmorphism syndrome
ORPHA:1393	Cerebrocostomandibular syndrome
ORPHA:1388	Catel-Manzke syndrome
ORPHA:1389	Cortical blindness-intellectual disability-polydactyly syndrome
ORPHA:1381	Cataract-intellectual disability-anal atresia-urinary defects syndrome
ORPHA:1387	Cataract-intellectual disability-hypogonadism syndrome
ORPHA:1377	Cataract-microcornea syndrome
ORPHA:1380	Cataract-nephropathy-encephalopathy syndrome
ORPHA:1375	Cataract-hypertrichosis-intellectual disability syndrome
ORPHA:1373	Cataract-aberrant oral frenula-growth delay syndrome
ORPHA:163	Hereditary hyperferritinemia-cataract syndrome
ORPHA:1366	Autosomal recessive palmoplantar keratoderma and congenital alopecia
ORPHA:1368	Cataract-ataxia-deafness syndrome
ORPHA:1355	Congenital heart defect-round face-developmental delay syndrome
ORPHA:1361	Carnosinase deficiency
ORPHA:1263	Boomerang dysplasia
ORPHA:1262	Böök syndrome
ORPHA:1264	Tricho-retino-dento-digital syndrome
ORPHA:127	Borjeson-Forssman-Lehmann syndrome
ORPHA:1253	Ascher syndrome
ORPHA:1261	Bonnemann-Meinecke-Reich syndrome
ORPHA:1259	Blepharoptosis-myopia-ectopia lentis syndrome
ORPHA:1241	Bencze syndrome
ORPHA:1240	Metaphyseal acroscyphodysplasia
ORPHA:1252	Blepharonasofacial malformation syndrome
ORPHA:1248	Maxillonasal dysplasia
ORPHA:114	Auriculoosteodysplasia
ORPHA:115	Congenital contractural arachnodactyly
ORPHA:1237	Beemer-Ertbruggen syndrome
ORPHA:1307	Distal limb deficiencies-micrognathia syndrome
ORPHA:1313	Infantile choroidocerebral calcification syndrome
ORPHA:1314	Symmetrical thalamic calcifications
ORPHA:1318	Campomelia, Cumming type
ORPHA:1296	Lambert syndrome
ORPHA:1297	Branchio-oculo-facial syndrome
ORPHA:1300	Autosomal dominant popliteal pterygium syndrome
ORPHA:1305	Feingold syndrome
ORPHA:1278	Brachydactyly-preaxial hallux varus syndrome
ORPHA:1292	Brachymorphism-onychodysplasia-dysphalangism syndrome
ORPHA:1295	Brachytelephalangy-dysmorphism-Kallmann syndrome
ORPHA:1270	Bowen-Conradi syndrome
ORPHA:1275	Brachydactyly-elbow wrist dysplasia syndrome
ORPHA:1276	Brachydactyly-arterial hypertension syndrome
ORPHA:1520	Craniofrontonasal dysplasia
ORPHA:1519	SPECC1L-related hypertelorism syndrome
ORPHA:1517	Cantú syndrome
ORPHA:1516	Non-syndromic bilambdoid and sagittal craniosynostosis
ORPHA:1528	Craniotelencephalic dysplasia
ORPHA:1527	Craniosynostosis, Philadelphia type
ORPHA:1525	Cranio-osteoarthropathy
ORPHA:1522	Craniometaphyseal dysplasia
ORPHA:1509	Coxopodopatellar syndrome
ORPHA:1508	Coxoauricular syndrome
ORPHA:1507	Autosomal recessive Robinow syndrome
ORPHA:1506	Thin ribs-tubular bones-dysmorphism syndrome
ORPHA:1515	Cranioectodermal dysplasia
ORPHA:1514	Craniodigital-intellectual disability syndrome
ORPHA:1513	Craniodiaphyseal dysplasia
ORPHA:1512	Crane-Heise syndrome
ORPHA:1562	Dacryocystitis-osteopoikilosis syndrome
ORPHA:1563	Dahlberg-Borer-Newcomer syndrome
ORPHA:1553	Curry-Jones syndrome
ORPHA:1555	Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome
ORPHA:1571	Knobloch syndrome
ORPHA:1551	Familial benign copper deficiency
ORPHA:1566	Dandy-Walker malformation-postaxial polydactyly syndrome
ORPHA:1568	X-linked intellectual disability-Dandy-Walker malformation-basal ganglia disease-seizures syndrome
ORPHA:1529	Craniofacial-deafness-hand syndrome
ORPHA:1532	Gómez-López-Hernández syndrome
ORPHA:1547	Cryptomicrotia-brachydactyly-excess fingertip arch syndrome
ORPHA:1548	Cryptorchidism-arachnodactyly-intellectual disability syndrome
ORPHA:1540	Jackson-Weiss syndrome
ORPHA:1545	Crisponi syndrome
ORPHA:1416	Familial calcium pyrophosphate deposition
ORPHA:1412	Tarsal-carpal coalition syndrome
ORPHA:1426	Greenberg dysplasia
